SourceFile,ExifToolVersion,CreateDate,ModifyDate,Make,Model,ShutterSpeedValue,ApertureValue,SubjectDistance,MeteringMode,Flash,FocalLength,ExposureMode,FocalLengthIn35mmFormat,LensInfo,City,Province-State,By-line,Caption-Abstract,CopyrightNotice,Description,Creator
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221111-playoffs4/20221111-playoffs4-010.jpg,12.76,2022:11:11 21:14:52,2022:11:12 07:42:46,SONY,ILCE-1,1/1250,2.8,57.01 m,Multi-segment,"Off, Did not fire",300.0 mm,Manual,300 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221111-playoffs4/20221111-playoffs4-004.jpg,12.76,2022:11:11 20:23:58,2022:11:12 07:42:27,SONY,ILCE-1,1/1250,2.8,28.38 m,Multi-segment,"Off, Did not fire",220.0 mm,Manual,220 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221111-playoffs4/20221111-playoffs4-005.jpg,12.76,2022:11:11 20:26:28,2022:11:12 07:42:30,SONY,ILCE-1,1/1250,2.8,36.23 m,Multi-segment,"Off, Did not fire",269.0 mm,Manual,269 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221111-playoffs4/20221111-playoffs4-011.jpg,12.76,2022:11:11 21:15:25,2022:11:12 07:42:47,SONY,ILCE-1,1/1250,2.8,47.99 m,Multi-segment,"Off, Did not fire",300.0 mm,Manual,300 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221111-playoffs4/20221111-playoffs4-007.jpg,12.76,2022:11:11 20:35:05,2022:11:12 07:42:32,SONY,ILCE-1,1/1250,2.8,27.74 m,Multi-segment,"Off, Did not fire",206.0 mm,Manual,206 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221111-playoffs4/20221111-playoffs4-013.jpg,12.76,2022:11:11 21:16:22,2022:11:12 07:42:49,SONY,ILCE-1,1/1250,2.8,24.07 m,Multi-segment,"Off, Did not fire",252.0 mm,Manual,252 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221111-playoffs4/20221111-playoffs4-012.jpg,12.76,2022:11:11 21:16:20,2022:11:12 07:42:47,SONY,ILCE-1,1/1250,2.8,38.7 m,Multi-segment,"Off, Did not fire",300.0 mm,Manual,300 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221111-playoffs4/20221111-playoffs4-006.jpg,12.76,2022:11:11 20:27:16,2022:11:12 07:42:30,SONY,ILCE-1,1/1250,2.8,50.1 m,Multi-segment,"Off, Did not fire",300.0 mm,Manual,300 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221111-playoffs4/20221111-playoffs4-002.jpg,12.76,2022:11:11 20:17:43,2022:11:12 07:42:24,SONY,ILCE-1,1/1250,2.8,27.19 m,Multi-segment,"Off, Did not fire",220.0 mm,Manual,220 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
/Users/harriedr_1/Documents/github/secondcropcreative/_gh_pages/sports/images/2022/20221111-playoffs4/20221111-playoffs4-016.jpg,12.76,2022:11:11 21:16:28,2022:11:12 07:42:52,SONY,ILCE-1,1/1250,2.8,12.19 m,Multi-segment,"Off, Did not fire",139.0 mm,Manual,139 mm,120-300mm f/2.8,,,Ross Harried,,Ross Harried,,Ross Harried
